date,hour,pm2.5
2010/1/6,0,9.0
2010/1/6,1,12.0
2010/1/6,2,19.0
2010/1/6,3,10.0
2010/1/6,4,47.0
2010/1/6,5,17.0
2010/1/6,6,49.0
2010/1/6,7,15.0
2010/1/6,8,15.0
2010/1/6,9,22.0
2010/1/6,10,22.0
2010/1/6,11,21.0
2010/1/6,12,12.0
2010/1/6,13,21.0
2010/1/6,14,149.0
2010/1/6,15,17.0
2010/1/6,16,37.0
2010/1/6,17,96.0
2010/1/6,18,212.0
2010/1/6,19,21.0
2010/1/6,20,235.0
2010/1/6,21,167.0
2010/1/6,22,239.0
2010/1/6,23,97.0
2010/1/13,0,8.0
2010/1/13,1,13.0
2010/1/13,2,17.0
2010/1/13,3,19.0
2010/1/13,4,19.0
2010/1/13,5,9.0
2010/1/13,6,9.0
2010/1/13,7,18.0
2010/1/13,8,17.0
2010/1/13,9,17.0
2010/1/13,10,17.0
2010/1/13,11,23.0
2010/1/13,12,23.0
2010/1/13,13,23.0
2010/1/13,14,23.0
2010/1/13,15,23.0
2010/1/13,16,23.0
2010/1/13,17,133.0
2010/1/13,18,30.0
2010/1/13,19,30.0
2010/1/13,20,47.0
2010/1/13,21,317.0
2010/1/13,22,233.0
2010/1/13,23,66.0
2010/1/20,0,9.0
2010/1/20,1,58.0
2010/1/20,2,153.0
2010/1/20,3,232.0
2010/1/20,4,215.0
2010/1/20,5,33.0
2010/1/20,6,12.0
2010/1/20,7,22.0
2010/1/20,8,19.0
2010/1/20,9,13.0
2010/1/20,10,19.0
2010/1/20,11,16.0
2010/1/20,12,20.0
2010/1/20,13,17.0
2010/1/20,14,30.0
2010/1/20,15,39.0
2010/1/20,16,149.0
2010/1/20,17,56.0
2010/1/20,18,10.0
2010/1/20,19,18.0
2010/1/20,20,23.0
2010/1/20,21,200.0
2010/1/20,22,10.0
2010/1/20,23,15.0
2010/1/27,0,301.0
2010/1/27,1,105.0
2010/1/27,2,19.0
2010/1/27,3,9.0
2010/1/27,4,49.0
2010/1/27,5,12.0
2010/1/27,6,234.0
2010/1/27,7,328.0
2010/1/27,8,8.0
2010/1/27,9,21.0
2010/1/27,10,80.0
2010/1/27,11,14.0
2010/1/27,12,75.0
2010/1/27,13,20.0
2010/1/27,14,21.0
2010/1/27,15,22.0
2010/1/27,16,25.0
2010/1/27,17,13.0
2010/1/27,18,13.0
2010/1/27,19,61.0
2010/1/27,20,71.0
2010/1/27,21,24.0
2010/1/27,22,60.0
2010/1/27,23,21.0
2010/2/3,0,106.0
2010/2/3,1,398.0
2010/2/3,2,67.0
2010/2/3,3,287.0
2010/2/3,4,207.0
2010/2/3,5,129.0
2010/2/3,6,73.0
2010/2/3,7,117.0
2010/2/3,8,18.0
2010/2/3,9,148.0
2010/2/3,10,18.0
2010/2/3,11,22.0
2010/2/3,12,27.0
2010/2/3,13,50.0
2010/2/3,14,40.0
2010/2/3,15,25.0
2010/2/3,16,30.0
2010/2/3,17,8.0
2010/2/3,18,11.0
2010/2/3,19,12.0
2010/2/3,20,132.0
2010/2/3,21,70.0
2010/2/3,22,164.0
2010/2/3,23,50.0
2010/2/10,0,16.0
2010/2/10,1,10.0
2010/2/10,2,9.0
2010/2/10,3,16.0
2010/2/10,4,15.0
2010/2/10,5,11.0
2010/2/10,6,11.0
2010/2/10,7,29.0
2010/2/10,8,27.0
2010/2/10,9,17.0
2010/2/10,10,17.0
2010/2/10,11,20.0
2010/2/10,12,17.0
2010/2/10,13,149.0
2010/2/10,14,18.0
2010/2/10,15,88.0
2010/2/10,16,43.0
2010/2/10,17,26.0
2010/2/10,18,18.0
2010/2/10,19,13.0
2010/2/10,20,13.0
2010/2/10,21,29.0
2010/2/10,22,8.0
2010/2/10,23,9.0
2010/2/17,0,398.0
2010/2/17,1,259.0
2010/2/17,2,90.0
2010/2/17,3,17.0
2010/2/17,4,27.0
2010/2/17,5,62.0
2010/2/17,6,6.0
2010/2/17,7,10.0
2010/2/17,8,14.0
2010/2/17,9,13.0
2010/2/17,10,10.0
2010/2/17,11,16.0
2010/2/17,12,29.0
2010/2/17,13,20.0
2010/2/17,14,13.0
2010/2/17,15,30.0
2010/2/17,16,16.0
2010/2/17,17,10.0
2010/2/17,18,55.0
2010/2/17,19,100.0
2010/2/17,20,74.0
2010/2/17,21,129.0
2010/2/17,22,106.0
2010/2/17,23,147.0
2010/2/24,0,171.0
2010/2/24,1,731.0
2010/2/24,2,114.0
2010/2/24,3,45.0
2010/2/24,4,53.0
2010/2/24,5,90.0
2010/2/24,6,98.0
2010/2/24,7,11.0
2010/2/24,8,16.0
2010/2/24,9,18.0
2010/2/24,10,138.0
2010/2/24,11,72.0
2010/2/24,12,18.0
2010/2/24,13,37.0
2010/2/24,14,158.0
2010/2/24,15,17.0
2010/2/24,16,37.0
2010/2/24,17,133.0
2010/2/24,18,17.0
2010/2/24,19,21.0
2010/2/24,20,47.0
2010/2/24,21,128.0
2010/2/24,22,106.0
2010/2/24,23,66.0
2010/3/3,0,171.0
2010/3/3,1,222.0
2010/3/3,2,114.0
2010/3/3,3,132.0
2010/3/3,4,143.0
2010/3/3,5,136.0
2010/3/3,6,99.0
2010/3/3,7,117.0
2010/3/3,8,74.0
2010/3/3,9,74.0
2010/3/3,10,172.0
2010/3/3,11,69.0
2010/3/3,12,90.0
2010/3/3,13,189.0
2010/3/3,14,64.0
2010/3/3,15,110.0
2010/3/3,16,72.0
2010/3/3,17,80.0
2010/3/3,18,154.0
2010/3/3,19,55.0
2010/3/3,20,128.0
2010/3/3,21,317.0
2010/3/3,22,233.0
2010/3/3,23,50.0
2010/3/10,0,102.0
2010/3/10,1,259.0
2010/3/10,2,115.0
2010/3/10,3,171.0
2010/3/10,4,93.0
2010/3/10,5,295.0
2010/3/10,6,47.0
2010/3/10,7,117.0
2010/3/10,8,118.0
2010/3/10,9,46.0
2010/3/10,10,22.0
2010/3/10,11,36.0
2010/3/10,12,19.0
2010/3/10,13,75.0
2010/3/10,14,117.0
2010/3/10,15,41.0
2010/3/10,16,39.0
2010/3/10,17,73.0
2010/3/10,18,101.0
2010/3/10,19,48.0
2010/3/10,20,118.0
2010/3/10,21,69.0
2010/3/10,22,117.0
2010/3/10,23,249.0
2010/3/17,0,137.0
2010/3/17,1,259.0
2010/3/17,2,73.0
2010/3/17,3,20.0
2010/3/17,4,15.0
2010/3/17,5,10.0
2010/3/17,6,22.0
2010/3/17,7,17.0
2010/3/17,8,15.0
2010/3/17,9,22.0
2010/3/17,10,22.0
2010/3/17,11,21.0
2010/3/17,12,21.0
2010/3/17,13,12.0
2010/3/17,14,22.0
2010/3/17,15,13.0
2010/3/17,16,37.0
2010/3/17,17,122.0
2010/3/17,18,29.0
2010/3/17,19,21.0
2010/3/17,20,72.0
2010/3/17,21,201.0
2010/3/17,22,336.0
2010/3/17,23,151.0
2010/3/24,0,51.0
2010/3/24,1,51.0
2010/3/24,2,44.0
2010/3/24,3,89.0
2010/3/24,4,53.0
2010/3/24,5,76.0
2010/3/24,6,147.0
2010/3/24,7,475.0
2010/3/24,8,20.0
2010/3/24,9,71.0
2010/3/24,10,22.0
2010/3/24,11,43.0
2010/3/24,12,29.0
2010/3/24,13,19.0
2010/3/24,14,53.0
2010/3/24,15,35.0
2010/3/24,16,116.0
2010/3/24,17,58.0
2010/3/24,18,158.0
2010/3/24,19,100.0
2010/3/24,20,164.0
2010/3/24,21,37.0
2010/3/24,22,22.0
2010/3/24,23,72.0
2010/3/31,7,19.0
2010/3/31,8,74.0
2010/3/31,17,110.0
2010/3/31,18,76.0
2010/3/31,19,15.0
2010/3/31,20,32.0
2010/3/31,21,53.0
2010/3/31,22,200.0
2010/3/31,23,8.0
