date,hour,pm2.5
2010/1/6,0,40.0
2010/1/6,1,15.0
2010/1/6,2,11.0
2010/1/6,3,15.0
2010/1/6,4,15.0
2010/1/6,5,27.0
2010/1/6,6,27.0
2010/1/6,7,27.0
2010/1/6,8,27.0
2010/1/6,9,27.0
2010/1/6,10,29.0
2010/1/6,11,27.0
2010/1/6,12,27.0
2010/1/6,13,21.0
2010/1/6,14,23.0
2010/1/6,15,15.0
2010/1/6,16,33.0
2010/1/6,17,50.0
2010/1/6,18,56.0
2010/1/6,19,37.0
2010/1/6,20,68.0
2010/1/6,21,106.0
2010/1/6,22,50.0
2010/1/6,23,50.0
2010/1/13,0,17.0
2010/1/13,1,7.0
2010/1/13,2,7.0
2010/1/13,3,7.0
2010/1/13,4,7.0
2010/1/13,5,9.0
2010/1/13,6,9.0
2010/1/13,7,9.0
2010/1/13,8,9.0
2010/1/13,9,9.0
2010/1/13,10,7.0
2010/1/13,11,7.0
2010/1/13,12,17.0
2010/1/13,13,15.0
2010/1/13,14,13.0
2010/1/13,15,13.0
2010/1/13,16,9.0
2010/1/13,17,50.0
2010/1/13,18,20.0
2010/1/13,19,20.0
2010/1/13,20,50.0
2010/1/13,21,37.0
2010/1/13,22,54.0
2010/1/13,23,87.0
2010/1/20,0,106.0
2010/1/20,1,146.0
2010/1/20,2,146.0
2010/1/20,3,148.0
2010/1/20,4,132.0
2010/1/20,5,26.0
2010/1/20,6,6.0
2010/1/20,7,16.0
2010/1/20,8,19.0
2010/1/20,9,18.0
2010/1/20,10,19.0
2010/1/20,11,10.0
2010/1/20,12,14.0
2010/1/20,13,20.0
2010/1/20,14,19.0
2010/1/20,15,16.0
2010/1/20,16,16.0
2010/1/20,17,16.0
2010/1/20,18,16.0
2010/1/20,19,9.0
2010/1/20,20,9.0
2010/1/20,21,9.0
2010/1/20,22,9.0
2010/1/20,23,9.0
2010/1/27,0,76.0
2010/1/27,1,204.0
2010/1/27,2,190.0
2010/1/27,3,133.0
2010/1/27,4,13.0
2010/1/27,5,144.0
2010/1/27,6,122.0
2010/1/27,7,119.0
2010/1/27,8,114.0
2010/1/27,9,109.0
2010/1/27,10,109.0
2010/1/27,11,136.0
2010/1/27,12,136.0
2010/1/27,13,142.0
2010/1/27,14,10.0
2010/1/27,15,13.0
2010/1/27,16,32.0
2010/1/27,17,19.0
2010/1/27,18,36.0
2010/1/27,19,37.0
2010/1/27,20,24.0
2010/1/27,21,25.0
2010/1/27,22,25.0
2010/1/27,23,47.0
2010/2/3,0,3.0
2010/2/3,1,25.0
2010/2/3,2,9.0
2010/2/3,3,24.0
2010/2/3,4,99.0
2010/2/3,5,68.0
2010/2/3,6,11.0
2010/2/3,7,13.0
2010/2/3,8,66.0
2010/2/3,9,13.0
2010/2/3,10,19.0
2010/2/3,11,27.0
2010/2/3,12,22.0
2010/2/3,13,6.0
2010/2/3,14,6.0
2010/2/3,15,4.0
2010/2/3,16,8.0
2010/2/3,17,15.0
2010/2/3,18,6.0
2010/2/3,19,19.0
2010/2/3,20,20.0
2010/2/3,21,18.0
2010/2/3,22,16.0
2010/2/3,23,37.0
2010/2/10,0,8.0
2010/2/10,1,8.0
2010/2/10,2,10.0
2010/2/10,3,8.0
2010/2/10,4,8.0
2010/2/10,5,8.0
2010/2/10,6,9.0
2010/2/10,7,9.0
2010/2/10,8,16.0
2010/2/10,9,16.0
2010/2/10,10,19.0
2010/2/10,11,19.0
2010/2/10,12,14.0
2010/2/10,13,6.0
2010/2/10,14,16.0
2010/2/10,15,16.0
2010/2/10,16,16.0
2010/2/10,17,17.0
2010/2/10,18,13.0
2010/2/10,19,13.0
2010/2/10,20,13.0
2010/2/10,21,8.0
2010/2/10,22,8.0
2010/2/10,23,8.0
2010/2/17,0,31.0
2010/2/17,1,31.0
2010/2/17,2,29.0
2010/2/17,3,29.0
2010/2/17,4,19.0
2010/2/17,5,9.0
2010/2/17,6,11.0
2010/2/17,7,18.0
2010/2/17,8,12.0
2010/2/17,9,6.0
2010/2/17,10,4.0
2010/2/17,11,4.0
2010/2/17,12,6.0
2010/2/17,13,6.0
2010/2/17,14,6.0
2010/2/17,15,6.0
2010/2/17,16,6.0
2010/2/17,17,6.0
2010/2/17,18,17.0
2010/2/17,19,18.0
2010/2/17,20,50.0
2010/2/17,21,71.0
2010/2/17,22,71.0
2010/2/17,23,82.0
2010/2/24,0,213.0
2010/2/24,1,213.0
2010/2/24,2,87.0
2010/2/24,3,105.0
2010/2/24,4,122.0
2010/2/24,5,122.0
2010/2/24,6,122.0
2010/2/24,7,122.0
2010/2/24,8,122.0
2010/2/24,9,136.0
2010/2/24,10,201.0
2010/2/24,11,274.0
2010/2/24,12,274.0
2010/2/24,13,33.0
2010/2/24,14,33.0
2010/2/24,15,179.0
2010/2/24,16,179.0
2010/2/24,17,191.0
2010/2/24,18,191.0
2010/2/24,19,218.0
2010/2/24,20,87.0
2010/2/24,21,223.0
2010/2/24,22,97.0
2010/2/24,23,83.0
2010/3/3,0,28.0
2010/3/3,1,44.0
2010/3/3,2,73.0
2010/3/3,3,55.0
2010/3/3,4,29.0
2010/3/3,5,31.0
2010/3/3,6,70.0
2010/3/3,7,7.0
2010/3/3,8,86.0
2010/3/3,9,94.0
2010/3/3,10,80.0
2010/3/3,11,56.0
2010/3/3,12,174.0
2010/3/3,13,72.0
2010/3/3,14,140.0
2010/3/3,15,79.0
